name,website,place_id,city,state
"Nor-Cal Industrial Floors Inc","http://norcalfloors.com/","ChIJ9eMxRnrMj4AR5gNLw5TyYak","San Jose","CA"
"Floor Depot","https://www.floordepot.us/","ChIJ0-H4N_TLj4ARpNqmeuCTwWI","San Jose","CA"
"Garage Force of Modesto","https://modesto.garageforce.com/","ChIJXWtZcy5RkIAR1QGBt5pisXg","San Jose","CA"
"S & S Renovations","http://www.ssrenovations.com/","ChIJnyrfUfYwjoARBk6Lao01924","San Jose","CA"
"San Jose Concrete Contractor Pros","https://www.sanjoseconcretecontractorpros.com/","ChIJ6VGH1A0zjoARGmsvRQU1VMw","San Jose","CA"
"Concrete Builders of San Jose","https://concretebuilderssanjose.com/","ChIJfcPBeJHNj4AR0Xw0k1oRsDQ","San Jose","CA"
"Specialty Performance Flooring","http://spfepoxy.com/","ChIJ6WeCRxyr2YgRPgEz-IfjHbE","Miami","FL"
"Exclusive Epoxy Coatings","https://exclusiveepoxycoatings.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing","ChIJz08JHJcApUARAEph1d1sqrA","Miami","FL"
"XPS Xpress - Miami Epoxy Floor Store","https://xpsxpressmiami.com/?utm_campaign=gmb","ChIJSbvsRGa52YgRIjWCddVCVqc","Miami","FL"
"Ascent Epoxy Fort Myers","https://www.precisionepoxyfortmyers.com/","ChIJ22nNtjdB24gRbCGby2KEODg","Miami","FL"
"Dura Bond Co","http://www.durafloor.com/","ChIJsSJrUK222YgR3rH_y3NxrHM","Miami","FL"
"Garage Floors of South Florida","http://garagefloorsofsouthflorida.com/","ChIJI0luK4JByWAR11CkvfQlw-o","Miami","FL"
"Lugo Painting & Restoration","http://www.lugopainting.com/","ChIJ35luZqO32YgREBcvKYGYiL4","Miami","FL"
"Boston Garage","http://www.bostongarage.com/","ChIJ61cm6dGf5IkRnVewSdn_dx0","Boston","MA"
"Epoxy Floors Boston","http://epoxyfloorsboston.com/","ChIJ_3w0Ich744kRyGnlrRLb2_U","Boston","MA"
"USA Epoxy of New England LLC","https://usaepoxyne.com/","ChIJi2VKEjeN5IkRBkqVU_RiSbY","Boston","MA"
"Cape Epoxy-Boston","https://capeepoxy.com/locations/boston/","ChIJ8WPpkzAT44kRfnv2Y4DpXU4","Boston","MA"
"Alto Boston Epoxy Floors","https://altoboston.com/","ChIJT3CEOtcX44kRjQZOFuRCEE8","Boston","MA"
"XPS XPRESS BOSTON","https://www.xpsxpressboston.com/","ChIJ-RFnZRAL5IkRRDzDM4KJgts","Boston","MA"
"LionStone Concrete Coatings","https://www.lionstonefloors.com/","ChIJ_VZflNvB5okRVcEzcfIYYOE","Boston","MA"
"Next Level Concrete Coatings","http://onedayfloor.com/","ChIJ3046cg2h5IkRzldwSAk9Q6Q","Boston","MA"
"Black Bear Seamless Flooring","https://www.blackbearconcrete.com/?utm_medium=search&utm_source=google&utm_campaign=googleprofile&utm_content=local","ChIJR7slr-vm44kRTT3RZZ7_VUk","Boston","MA"
"Iconic Epoxy Flooring","https://www.iconicepoxyflooringma.com/","ChIJVUq9oMup44kRPc8VnzchNoM","Boston","MA"
"Donlon Coatings, Inc.","http://donloncoatings.com/","ChIJRTQIwdd044kR9c3cUhBcSLw","Boston","MA"
"Boston Stamped Concrete Experts","https://bostonstampedconcreteexperts.com/","ChIJQzNfjst744kRUPlWXxf2ycQ","Boston","MA"
"Topcoat Services USA","https://topcoatservices.com/","ChIJ3aM05Jo0-4kR5KKsILD9tFw","Boston","MA"
"La Mesa Flooring Company","https://lamesaflooring.com/","ChIJARhuBkBX2YARVU_XpdZ5Crw","San Diego","CA"
"Innovative Concrete Surfaces","https://www.icsurfaces.com/","ChIJs01D3aT19QQR-hEEbuJQyW8","San Diego","CA"
"Beach Cities Coatings","https://beachcitiescoatings.com/","ChIJN0sQ6Y0B3IARGgciabU-az8","San Diego","CA"
"True Champions Construction, Inc.","http://www.championcoatings.net/","ChIJZ5-66ZSq3oARqxo7CZdbgFo","San Diego","CA"
"PCS - Preferred Coating Supplies","http://www.preferredcoatingsupplies.com/","ChIJYwpu4wt13IAR0bFM5yehuiY","San Diego","CA"
"Concrete Driveway San Diego","https://www.concretedrivewaysandiego.com/","ChIJXSuyl67-gGkRMmsWjzabbKc","San Diego","CA"
"Epoxy Colorado","https://epoxycolorado.com/?utm_source=gmb&utm_medium=organic-traffic&utm_campaign=loveland-gmb","ChIJ7W7EDhNTaYcRHPHofB18e9Q","Denver","CO"
"Denver Floor Coatings & Out Of Sight Cabinets","https://globalgarageinc.com/","ChIJdx1MEgCGbIcRGS75IpQhAqA","Denver","CO"
"Denver Floor Coatings, Inc.","http://www.denverfloorcoatings.com/","ChIJExamNDaGa4cRj49rKi-6BUI","Denver","CO"
